,2021-05-31,2020-05-31,2019-05-31,2018-05-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1287749000.0,1058291000.0,1102399000.0,841001000.0
Minority Interest,,,,
Net Income,1110968000.0,876037000.0,884981000.0,842586000.0
Selling General Administrative,1924045000.0,2061832000.0,1980644000.0,1916792000.0
Gross Profit,3314651000.0,3233748000.0,3128588000.0,2908523000.0
Ebit,1390606000.0,1171916000.0,1147944000.0,991731000.0
Operating Income,1390606000.0,1171916000.0,1147944000.0,991731000.0
Other Operating Expenses,,,,
Interest Expense,-98210000.0,-105393000.0,-101736000.0,-110175000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,176781000.0,181931000.0,219764000.0,57069000.0
Total Revenue,7116340000.0,7085120000.0,6892303000.0,6476632000.0
Total Operating Expenses,5725734000.0,5913204000.0,5744359000.0,5484901000.0
Cost Of Revenue,3801689000.0,3851372000.0,3763715000.0,3568109000.0
Total Other Income Expense Net,-102857000.0,-113625000.0,-45545000.0,-150730000.0
Discontinued Operations,,-323000.0,2346000.0,58654000.0
Net Income From Continuing Ops,1110968000.0,876360000.0,882635000.0,783932000.0
Net Income Applicable To Common Shares,1103345000.0,867879000.0,875413000.0,830792000.0
