,2021-05-30,2020-05-31,2019-05-26,2018-05-27
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2975100000.0,2691300000.0,2154000000.0,2220300000.0
Minority Interest,907700000.0,835600000.0,864900000.0,1127500000.0
Net Income,2339800000.0,2181200000.0,1752700000.0,2131000000.0
Selling General Administrative,2946700000.0,3038800000.0,2847900000.0,2760700000.0
Gross Profit,6450600000.0,6157200000.0,5768000000.0,5460900000.0
Ebit,3503900000.0,3118400000.0,2920100000.0,2700200000.0
Operating Income,3503900000.0,3118400000.0,2920100000.0,2700200000.0
Other Operating Expenses,,,,
Interest Expense,-427700000.0,-472500000.0,-527400000.0,-385400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,629100000.0,480500000.0,367800000.0,57300000.0
Total Revenue,18127000000.0,17626600000.0,16865200000.0,15740400000.0
Total Operating Expenses,14623100000.0,14508200000.0,13945100000.0,13040200000.0
Cost Of Revenue,11676400000.0,11469400000.0,11097200000.0,10279500000.0
Total Other Income Expense Net,-528800000.0,-427100000.0,-766100000.0,-479900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2346000000.0,2210800000.0,1786200000.0,2163000000.0
Net Income Applicable To Common Shares,2339800000.0,2181200000.0,1752700000.0,2131000000.0
